"","Views","Likes","Comments","Luminance.Complexity","Color.Complexity","Edge.Density","Asymmetry.of.Object.Arrangement","Irregularity.of.Object.Arrangement","Unique.Objects.Count","Visual.Variety","Subscribers","Time","Length","status"
"Views","1.00NA","","","","","","","","","","","","",""
"Likes","0.07","1.00NA","","","","","","","","","","","",""
"Comments","0.20*","0.74***","1.00NA","","","","","","","","","","",""
"Luminance.Complexity","0.09","-0.12","-0.16","1.00NA","","","","","","","","","",""
"Color.Complexity","0.33***","-0.09","-0.05","0.29***","1.00NA","","","","","","","","",""
"Edge.Density","0.13","-0.18*","-0.13","0.61***","0.31***","1.00NA","","","","","","","",""
"Asymmetry.of.Object.Arrangement","0.11","-0.18*","-0.17*","0.19*","0.52***","0.44***","1.00NA","","","","","","",""
"Irregularity.of.Object.Arrangement","0.08","-0.15","-0.14","-0.03","0.50***","0.30***","0.90***","1.00NA","","","","","",""
"Unique.Objects.Count","0.15","-0.21*","-0.15","0.55***","0.13","0.49***","0.13","-0.01","1.00NA","","","","",""
"Visual.Variety","0.12","0.07","-0.02","0.44***","0.20*","0.28**","0.25**","0.14","0.17","1.00NA","","","",""
"Subscribers","-0.06","0.72***","0.44***","-0.21*","-0.12","-0.27**","-0.24**","-0.18*","-0.34***","-0.03","1.00NA","","",""
"Time","-0.07","0.19*","0.04","-0.06","-0.12","0.03","-0.10","-0.04","-0.11","-0.05","0.21*","1.00NA","",""
"Length","-0.01","0.06","0.25**","0.09","-0.14","-0.04","-0.25**","-0.27**","0.06","0.04","0.08","-0.16","1.00NA",""
"status","-0.06","0.02","0.03","-0.15","0.04","-0.16","0.04","0.07","-0.33***","0.15","0.14","-0.33***","-0.00","1.00NA"
